Category: All categories

Week,Milkshake: (Worldwide),Hamburger: (Worldwide),Breakup: (Worldwide)
2024-01-28,23,78,16
2024-02-04,23,77,21
2024-02-11,21,80,17
2024-02-18,22,79,22
2024-02-25,23,79,20
2024-03-03,23,76,16
2024-03-10,23,76,19
2024-03-17,23,78,18
2024-03-24,21,79,18
2024-03-31,22,75,17
2024-04-07,22,78,17
2024-04-14,22,81,17
2024-04-21,23,81,17
2024-04-28,23,85,16
2024-05-05,22,80,15
2024-05-12,22,82,15
2024-05-19,21,84,15
2024-05-26,22,100,16
2024-06-02,23,80,16
2024-06-09,21,79,17
2024-06-16,20,78,20
2024-06-23,22,78,15
2024-06-30,21,84,16
2024-07-07,23,85,17
2024-07-14,23,80,17
2024-07-21,23,82,16
2024-07-28,21,80,17
2024-08-04,20,78,15
2024-08-11,22,81,16
2024-08-18,22,80,16
2024-08-25,21,83,16
2024-09-01,20,84,17
2024-09-08,18,79,15
2024-09-15,20,81,15
2024-09-22,19,74,15
2024-09-29,19,71,16
2024-10-06,19,72,16
2024-10-13,19,77,16
2024-10-20,18,73,17
2024-10-27,18,79,16
2024-11-03,18,71,15
2024-11-10,19,73,16
2024-11-17,18,75,17
2024-11-24,17,74,15
2024-12-01,18,70,16
2024-12-08,17,69,15
2024-12-15,17,70,15
2024-12-22,16,68,16
2024-12-29,21,82,18
2025-01-05,23,78,16
2025-01-12,23,80,15
2025-01-19,22,76,15
2025-01-26,23,79,16
2025-02-02,26,78,16
2025-02-09,22,76,18
2025-02-16,23,80,16
2025-02-23,25,74,14
